Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Grant abstract,LLM rubric marker,Evaluation rigor,evaluation_rigor,Random actor-balanced A/B-coded sample,120,7,0.0569561157796451,-0.1260504201680672,0.2717086834733893,0.06,"[-0.13, 0.27]",False,No clear difference,0.5701866815558987,120,+0.57 (n=120),52.5%,46.7%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Problem significance,problem_significance,Random actor-balanced A/B-coded sample,120,7,-0.0504201680672268,-0.2352941176470588,0.134453781512605,-0.05,"[-0.24, 0.13]",False,No clear difference,0.4531359683754186,120,+0.45 (n=120),39.2%,44.2%,16.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract more clearly states the need, affected population, and consequence of the problem?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,Generic text feature,Words,words,Full paired dataset,977,7,-39.08504128205594,-65.89614791955987,-14.385460137413508,-39,"[-66, -14]",True,Higher for R0,0.3973176540256811,974,+0.40 (n=974),34.4%,65.3%,0.3%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,977,7,-1.8782814821580616,-3.2100247862123834,-0.782579626576338,-1.88,"[-3.21, -0.78]",True,Higher for R0,-0.0548878320570542,974,-0.05 (n=974),40.7%,59.2%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Paragraphs,paragraphs,Full paired dataset,977,7,-1.0712014539330006,-1.93250629300827,-0.2794236693646561,-1.1,"[-1.9, -0.3]",True,Higher for R0,0.16009091038763046,974,+0.16 (n=974),29.2%,55.0%,15.9%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,977,7,0.0087051974796444,0.000320537825404,0.0169380561898672,0.0087,"[0.0003, 0.0169]",True,Higher for moral low,-0.13960610795037268,974,-0.14 (n=974),61.6%,38.4%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,977,7,0.3587491943268864,-0.1259299789338031,1.0600070999629423,0.36,"[-0.13, 1.06]",False,No clear difference,-0.13016480081513535,974,-0.13 (n=974),53.5%,46.5%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,977,7,0.2342995258132807,-0.7618397568191231,1.241931294740564,0.23,"[-0.76, 1.24]",False,No clear difference,-0.04692819180912181,974,-0.05 (n=974),50.2%,49.8%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,977,7,-0.0053461191340868,-0.2345633197220758,0.2558862140004545,-0.005,"[-0.235, 0.256]",False,No clear difference,0.4784264969128244,974,+0.48 (n=974),51.9%,44.8%,3.3%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Incident postmortem,LLM rubric marker,Impact specificity,impact_specificity,Random actor-balanced A/B-coded sample,120,7,0.226890756302521,-0.0252100840336134,0.4960084033613415,0.23,"[-0.03, 0.50]",False,No clear difference,0.34158838451346685,119,+0.34 (n=119),60.8%,38.3%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Timeline precision,timeline_precision,Random actor-balanced A/B-coded sample,120,7,0.1848739495798319,-0.0084033613445378,0.3949579831932773,0.18,"[-0.01, 0.39]",False,No clear difference,0.48089406201768614,119,+0.48 (n=119),59.2%,40.8%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Root-cause specificity,root_cause_specificity,Random actor-balanced A/B-coded sample,120,7,0.1596638655462185,-0.0588235294117647,0.3699579831932743,0.16,"[-0.06, 0.37]",False,No clear difference,0.4603373868176166,119,+0.46 (n=119),57.5%,41.7%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Action-item concreteness,action_item_concreteness,Random actor-balanced A/B-coded sample,120,7,0.1587301587301587,-0.0681605975723622,0.3688375350140053,0.16,"[-0.07, 0.37]",False,No clear difference,0.5067907673826337,119,+0.51 (n=119),57.5%,41.7%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Operational realism,operational_realism,Random actor-balanced A/B-coded sample,120,7,0.1503267973856209,-0.0840336134453781,0.3697478991596639,0.15,"[-0.08, 0.37]",False,No clear difference,0.5521547293043637,119,+0.55 (n=119),53.3%,38.3%,8.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Contributing-factor analysis,contributing_factor_analysis,Random actor-balanced A/B-coded sample,120,7,0.1428571428571428,-0.0672268907563025,0.361344537815126,0.14,"[-0.07, 0.36]",False,No clear difference,0.4841223059227165,119,+0.48 (n=119),56.7%,42.5%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Detection/observability analysis,detection_observability_analysis,Random actor-balanced A/B-coded sample,120,7,0.1167133520074696,-0.0924369747899159,0.3352007469654529,0.12,"[-0.09, 0.34]",False,No clear difference,0.45933695023710625,119,+0.46 (n=119),55.8%,44.2%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
