Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Translation,Generic text feature,Words,words,Full paired dataset,1050,7,0.0161904761904761,-0.1866666666666666,0.2247619047619047,0.0,"[-0.2, 0.2]",False,No clear difference,0.07039539038930269,1050,"+0.07 (n=1,050)",41.1%,41.1%,17.7%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1050,7,-0.0038935461386634,-0.0126540249506562,0.0038935461386634,-0.004,"[-0.013, 0.004]",False,No clear difference,0.019166560085680757,1050,"+0.02 (n=1,050)",1.4%,1.4%,97.1%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1050,7,0.0009806247505557,-0.0020331995793045,0.0040854862758009,0.0010,"[-0.0020, 0.0041]",False,No clear difference,-0.03872791175000679,1050,"-0.04 (n=1,050)",44.7%,46.1%,9.2%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1050,7,-0.0009523809523809,-0.0028571428571428,0.0,0.0,"[0.0, 0.0]",False,No clear difference,-0.03046403635825728,1050,"-0.03 (n=1,050)",0.0%,0.1%,99.9%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Translation,LLM rubric marker,Terminology precision,terminology_precision,Random actor-balanced A/B-coded sample,118,7,-0.0692693744164332,-0.1475957049486461,0.007469654528478,-0.07,"[-0.15, 0.01]",False,No clear difference,0.19896827621076815,118,+0.20 (n=118),15.3%,22.0%,62.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which translation uses more domain-appropriate terminology?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Avoids additions/omissions,additions_omissions,Random actor-balanced A/B-coded sample,118,7,-0.049953314659197,-0.1108776844070961,0.0199579831932773,-0.05,"[-0.11, 0.02]",False,No clear difference,0.13108631132566415,118,+0.13 (n=118),3.4%,8.5%,88.1%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which translation has fewer unsupported additions and fewer omissions of source meaning?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Named-entity fidelity,named_entity_fidelity,Random actor-balanced A/B-coded sample,118,7,-0.049953314659197,-0.1507936507936507,0.0504201680672268,-0.05,"[-0.15, 0.05]",False,No clear difference,0.20895631992281458,118,+0.21 (n=118),13.6%,18.6%,67.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which translation better handles names, organizations, places, titles, acronyms, and transliterations?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Fluency/idiomaticity,fluency_idiomaticity,Random actor-balanced A/B-coded sample,118,7,-0.0024509803921568,-0.1129332983193277,0.1118741246498598,0.00,"[-0.11, 0.11]",False,No clear difference,0.3878419878005134,118,+0.39 (n=118),30.5%,30.5%,39.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which translation reads more naturally and idiomatically in English?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Structural clarity,structural_clarity,Random actor-balanced A/B-coded sample,118,7,0.0004668534080298,-0.0326797385620915,0.0336134453781512,0.00,"[-0.03, 0.03]",False,No clear difference,0.1696174876232976,118,+0.17 (n=118),11.9%,11.9%,76.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which translation more clearly handles clauses, lists, appositives, parentheticals, quotation, and sentence breaks while preserving source relations?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Numeric/factual fidelity,numeric_factual_fidelity,Random actor-balanced A/B-coded sample,118,7,0.0,-0.0252100840336134,0.0252100840336134,0.00,"[-0.03, 0.03]",False,No clear difference,0.14103345010927756,118,+0.14 (n=118),0.8%,0.8%,98.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which translation better preserves numbers, dates, currencies, percentages, units, and factual details?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
